,Unnamed: 0,Unnamed: 0.1,user_name,ID,user_location,user_description,user_verified,date,text,language,favourites-count,author,retweet-count,hashtags,source
52,52,52,chinyere chigbu,1485375847049666562,,,False,2022-01-23 22:16:13+00:00,RT @BiafraGenerati2: Super Eagles used to win or score in the first half until they received a call from President #Buhari.,en,0,chigbu_chinyere,10,['Buhari'],Twitter for Android
53,53,53,chinyere chigbu,1485375813528834051,,,False,2022-01-23 22:16:05+00:00,"RT @integrimart: You are 22 and you did a f**king great job. Yes you are growing into world class. 

May Buhari no call you on the day you…",en,0,chigbu_chinyere,6,,Twitter for Android
54,54,54,chinyere chigbu,1485375759019618304,,,False,2022-01-23 22:15:52+00:00,RT @Bishop_Dee_: #Desmond Elliot #Buhari #Nigeriavstunisia  Oh no 😭😭 https://t.co/vD1hxtwMAt,en,0,chigbu_chinyere,9,"['Desmond', 'Buhari', 'Nigeriavstunisia']",Twitter for Android
55,55,55,Igbotic Lagos chic,1485375745199415303,,deep,False,2022-01-23 22:15:49+00:00,"#desmondelliot, are u happy now?
#AFCON #Buhari #madukaokoye",en,0,inno_lily,0,"['desmondelliot', 'AFCON', 'Buhari', 'madukaokoye']",Twitter for iPhone
56,56,56,Nnenna,1485375730401828869,"Lagos, Nigeria",Local Music Local News World News TV,False,2022-01-23 22:15:45+00:00,RT @Trey_wrld: Super eagles in their attire getting ready to come back for more dragging. #okoye #buhari #Eagles https://t.co/J1oe9IZbZ8,en,0,NnennaaU,20,"['okoye', 'buhari', 'Eagles']",Twitter for iPhone
57,57,57,⭕ La Noblesse💰⚜️💰⚜️,1485375712873881600,University of Lagos Nigeria ,"I am unique and wonderfully gifted
#linguist 
#WizkidFc
#Francophile
Fan of @fcbarcelona #seriesfreak
#
 #Superions⭕️⭕️⭕️
#Moneygeng(WMG) 💰
#Emirates⚜️",False,2022-01-23 22:15:41+00:00,"RT @ayemojubar: #Buhari: Musa saw it coming. 😭🥺
I blame Desmond Elliot for all this. 😡
https://t.co/8fud2GGZuO",en,0,chizo_alaribe,193,['Buhari'],Twitter for Android
58,58,58,Ayomide,1485375698940440581,Lagos Nigeria,"# An economist #HR Manager, and a customer service relation manager",False,2022-01-23 22:15:38+00:00,RT @PAkinboye: Wtf did I just hear? Iyalaya anybody can be beaten on national Tv😂😩🤲🏻#okoye #buhari #TeamNigeria https://t.co/wDhFqyMEyf,en,0,Ayomide4360,49,"['okoye', 'buhari', 'TeamNigeria']",Twitter for Android
59,59,59,chinyere chigbu,1485375688161046529,,,False,2022-01-23 22:15:35+00:00,"RT @opetoyinbo_: First tweet in three years...

But why is nobody talking about Umar Sadiq.. Guy was at his best👏👏👏🙏🙏

#Buhari #Sadiq #Nige…",en,0,chigbu_chinyere,16,"['Buhari', 'Sadiq']",Twitter for Android
60,60,60,PH no 1 Leftie,1485375678874886145,"Port Harcourt, Nigeria","student,civil engineering
uniport
IT staff,FCC LTD
lover and player of soccer
lover and singer of classical music",False,2022-01-23 22:15:33+00:00,"Bubu: kai Lucky, make I call you tomorrow kwo?
Me:
#Buhari #AFCON2021 #TeamNigeria #NGATUN https://t.co/8k5PQxlqVO",en,1,Law_key__,0,"['Buhari', 'AFCON2021', 'TeamNigeria', 'NGATUN']",Twitter for Android
61,61,61,Emoji Queen 😘😘😘😍😍😍,1485375677461319686,,I love love 😍 😍 😍 😍 😍,False,2022-01-23 22:15:33+00:00,RT @dikeuzo: This is so Hillarious 🤣🤣.. Iyalaya anybody can be beaten at afcons..     #Ghanaians #Buhari #anthonyjoshua #madukaokoye https:…,en,0,Chi_pops,13,"['Ghanaians', 'Buhari', 'anthonyjoshua', 'madukaokoye']",Twitter for Android
62,62,62,Mr Presdent,1485375650693328897,,God Bless Nigeria My County 🙏🙏🇳🇬🇳🇬🇳🇬,False,2022-01-23 22:15:26+00:00,"RT @Abdullahiabba_: Nigeria did not loose against Tunisia, Biafra and oduduwa republic are the ones who loose and now dragging #Buhari into…",en,0,imam_president,19,['Buhari'],Twitter for iPhone
63,63,63,Adams,1485375612592218113,"Jos, Nigeria ","A stylist and also a computer scientist..
⚡🔥",False,2022-01-23 22:15:17+00:00,"RT @ayemojubar: #Buhari: Musa saw it coming. 😭🥺
I blame Desmond Elliot for all this. 😡
https://t.co/8fud2GGZuO",en,0,AdamsDanladi8,193,['Buhari'],Twitter Web App
64,64,64,sheddy of abuja🎭,1485375610805526528,"Abuja, Nigeria","follow up an I will follow back quickly
Manchester united fan
nice to meet you 😊😊",False,2022-01-23 22:15:17+00:00,"RT @Nono_Serah: #madukaokoye
😂😂😂😂
To think say people been dey show this guy love unto say him fine...

Now he don lose focus, dem don dey…",en,0,Sheddy__,6,['madukaokoye'],Twitter for Android
65,65,65,chinyere chigbu,1485375609819832321,,,False,2022-01-23 22:15:16+00:00,RT @anthony_adejumo: ''Buhari'' is the kinda person dat calls on the eve of your wedding day to congratulate and admonish you on your new j…,en,0,chigbu_chinyere,11,,Twitter for Android
66,66,66,Williamscyprian Imasuen,1485375588701544457,"Benin-City, Nigeria","JEZU UFAM TOBIE....🎅🤶♥️♥️

https://t.co/1AWQIdI8jF

https://t.co/1c8iXK4eZn

$Samsowa

🥳🥳🥳💖💖♥️♥️

#BSV #CUB",False,2022-01-23 22:15:11+00:00,"RT @Yungwest_Jeff: #TwitterNG
Una don do kill Dix Poor Eagle 😢😪😭💔

#TeamNigeria #TeamTunisia #NGRTUN #Nigeriavstunisia #Buhari #Eagles http…",en,0,ImasuenWilliam1,8,"['TwitterNG', 'TeamNigeria', 'TeamTunisia', 'NGRTUN', 'Nigeriavstunisia', 'Buhari', 'Eagles']",Twitter for Android
67,67,67,Emmanuel sanusi,1485375568250081281,Lagos Nigeria,A Professional DStv & other Satellites Tv installer👩‍🔧🧰🔧🔨🛰️📡📺,False,2022-01-23 22:15:07+00:00,"I just love my country people... We lose, we still use a catch cruise.. Blame am on #Buhari, #DesmondElliott, @Ghanians &amp; #Okoye. 

I'm Proud of 9ja💯😹💗 https://t.co/7QwWGUGZcg",en,1,Emmanuelsanusi1,1,"['Buhari', 'DesmondElliott']",Twitter for Android
68,68,68,Virtuoso✨,1485375566392041472,,God | Love | People | Design,False,2022-01-23 22:15:06+00:00,RT @Bishop_Dee_: #Desmond Elliot #Buhari #Nigeriavstunisia  Oh no 😭😭 https://t.co/vD1hxtwMAt,en,0,BlakeIsaac_,9,"['Desmond', 'Buhari', 'Nigeriavstunisia']",Twitter for iPhone
69,69,69,BravehearT,1485375558401863684,"Abu Dhabi,🇦🇪🇳🇬",Entrepreneur/Book Lover/Dog Lover✌🏿♟,False,2022-01-23 22:15:04+00:00,"RT @The_Seeker76: Chaiiiii.....Nigerians no dey waste time!!!

#AFCON 
#NGRTUN 
#Buhari https://t.co/bc4WABt7nZ",en,0,45dcaliber,11,"['AFCON', 'NGRTUN', 'Buhari']",Twitter for Android
